Party;Base year;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;Last Inventory Year (2019);Change from base year to latest reported year
Japan;1.269.015,30;1.269.015,30;1.283.386,64;1.295.604,15;1.291.284,87;1.352.190,75;1.373.757,63;1.386.211,81;1.378.930,08;1.330.542,77;1.353.959,95;1.373.754,87;1.348.108,69;1.372.028,55;1.378.772,44;1.370.202,43;1.377.912,87;1.356.610,44;1.391.882,93;1.319.257,64;1.247.100,64;1.300.451,71;1.351.251,65;1.394.043,99;1.405.888,61;1.356.588,54;1.318.516,70;1.301.855,89;1.288.528,72;1.245.020,89;1.209.493,35;-4,69%
Kazakhstan;385.022,01;385.022,01;369.854,70;343.664,77;308.227,87;261.023,63;244.275,60;226.180,16;218.834,89;215.135,64;189.021,64;219.030,46;212.958,38;235.320,55;257.075,16;263.901,34;277.740,39;295.020,60;296.551,53;291.519,01;279.646,42;303.286,40;293.268,93;296.890,24;304.663,39;331.205,22;341.342,71;342.616,69;364.180,03;375.581,98;354.869,62;-7,83%
Latvia;25.868,20;25.868,20;23.972,13;19.200,11;15.782,96;13.831,35;12.447,95;12.502,59;11.948,96;11.450,55;10.674,14;10.059,49;10.646,48;10.617,13;10.791,90;10.759,86;10.934,36;11.414,91;11.863,26;11.416,34;10.730,92;11.820,12;11.029,89;10.851,36;10.763,41;10.671,01;10.724,86;10.716,53;10.757,14;11.260,72;11.132,13;-56,97%
Liechtenstein;228,51;228,51;236,06;236,27;243,40;229,77;233,59;235,90;248,47;259,43;256,43;247,05;246,62;252,95;263,07;263,29;263,69;267,28;238,09;257,85;243,11;228,16;215,32;224,50;230,72;199,70;198,04;187,52;193,03;180,69;187,11;-18,12%
Lithuania;47.792,29;47.792,29;49.786,07;30.616,92;24.550,93;23.187,14;22.201,60;23.248,78;22.815,56;23.781,00;20.968,07;19.425,84;20.228,95;20.608,07;20.776,24;21.593,77;22.700,12;22.990,58;25.170,92;24.192,34;19.902,23;20.742,36;21.338,66;21.261,46;20.024,00;19.986,69;20.283,03;20.311,83;20.518,88;20.150,10;20.367,85;-57,38%
Luxembourg;12.727,38;12.727,38;13.371,04;13.134,73;13.286,22;12.458,12;10.084,08;10.148,60;9.495,63;8.614,78;9.079,66;9.658,18;10.151,68;10.928,76;11.373,29;12.765,15;13.005,05;12.836,66;12.253,91;12.141,35;11.596,40;12.176,42;12.052,77;11.807,44;11.270,40;10.807,26;10.324,43;10.082,90;10.266,98;10.565,23;10.742,80;-15,59%
Malta;2.595,50;2.595,50;2.450,25;2.519,74;3.106,01;2.889,41;2.685,61;2.809,37;2.824,80;2.790,41;2.877,95;2.813,23;2.939,15;2.990,68;3.271,00;3.161,12;2.985,10;3.040,33;3.136,83;3.076,79;2.892,11;2.968,46;2.972,04;3.181,48;2.871,60;2.905,19;2.220,08;1.902,48;2.060,88;2.041,17;2.174,72;-16,21%
Monaco;102,73;102,73;103,59;109,23;108,19;108,89;105,53;109,84;107,95;107,16;108,12;109,00;106,86;107,18;104,49;100,36;98,15;92,66;92,57;93,04;91,08;87,92;85,52;87,53;90,53;84,89;87,70;86,71;85,76;87,13;82,54;-19,66%
Netherlands;219.604,10;219.604,10;227.263,86;227.948,36;228.694,79;229.571,52;229.639,34;240.424,69;232.386,44;232.779,11;219.336,64;217.577,76;218.271,57;216.093,44;216.742,96;218.288,46;212.553,10;207.510,09;205.894,05;205.315,85;199.722,19;211.675,15;197.327,07;193.081,48;193.387,53;185.617,27;192.712,73;193.101,02;190.567,47;186.318,55;180.309,09;-17,89%
New Zealand;65.129,23;65.129,23;66.005,34;67.153,48;66.913,44;68.135,38;68.913,13;70.973,41;73.669,13;71.569,28;73.366,38;75.397,63;78.386,36;78.563,49;80.733,64;80.548,78;82.486,17;82.518,41;80.522,57;80.605,45;77.881,95;78.316,41;78.149,24;80.446,28;79.827,77;80.674,00;80.724,44;78.678,36;80.282,00;80.578,31;82.317,88;26,39%
Norway;51.475,11;51.475,11;49.182,33;47.494,57;49.400,79;51.279,68;51.623,59;54.614,66;54.631,17;54.779,97;55.736,95;55.117,39;56.349,07;55.222,38;55.762,84;56.151,19;55.269,62;55.238,38;56.895,40;55.442,36;53.053,84;55.265,59;54.509,57;53.998,11;53.989,10;53.863,14;54.125,11;53.095,07;52.089,48;52.211,46;50.333,98;-2,22%
Poland;579.218,55;475.862,93;463.790,87;451.015,94;450.911,26;445.289,05;447.309,06;461.109,53;451.022,73;420.681,52;409.182,56;396.594,91;395.187,65;385.455,07;399.258,84;404.900,89;405.225,25;420.408,33;420.268,92;413.750,43;394.713,90;413.501,55;412.488,95;404.975,67;401.638,24;388.929,07;390.815,88;400.421,28;414.819,41;411.852,17;390.744,67;-32,54%
Portugal;58.783,77;58.783,77;60.689,04;64.536,04;63.027,64;63.924,87;68.588,14;66.294,63;69.473,47;74.333,27;82.400,44;81.668,11;81.199,88;85.719,94;80.429,33;83.559,56;85.704,34;80.871,67;78.593,01;76.195,15;73.008,69;68.727,03;67.319,09;65.404,63;63.542,23;63.439,83;67.586,67;65.741,58;70.790,72;67.131,79;63.469,98;7,97%
Romania;307.371,31;247.371,77;204.385,17;189.482,02;179.379,26;176.655,00;183.855,96;186.702,30;179.616,66;163.514,28;145.552,03;138.766,96;142.383,73;143.913,34;149.600,07;147.819,50;146.944,76;148.442,79;145.429,71;140.785,56;121.699,30;116.143,75;123.862,20;121.086,33;111.881,72;112.485,91;113.193,87;110.762,21;114.245,64;115.090,96;111.767,06;-63,64%
Russian Federation;3.158.804,34;3.158.804,34;2.997.928,59;2.519.559,58;2.382.405,22;2.120.840,38;2.068.333,80;2.017.432,58;1.899.548,64;1.867.753,70;1.897.296,71;1.891.846,01;1.926.302,45;1.903.699,11;1.936.360,29;1.947.980,21;1.965.384,74;2.024.782,86;2.022.728,31;2.057.617,56;1.921.605,98;2.013.432,45;2.070.533,86;2.095.638,94;2.037.755,83;2.037.987,26;2.035.889,30;2.037.209,58;2.071.543,37;2.133.581,60;2.119.432,41;-32,90%
Slovakia;73.386,16;73.386,16;63.926,60;58.212,79;54.796,04;52.323,03;52.888,94;52.723,11;52.634,99;51.948,77;50.561,42;48.669,91;50.925,39;49.526,70;49.680,81;50.409,47;50.357,19;50.267,53;48.477,95;48.898,52;44.706,18;45.363,93;44.555,47;42.309,22;41.862,56;39.862,99;40.712,46;41.112,12;42.226,70;42.159,13;39.948,33;-45,56%
